dose	days	S	T	B1	B2	B3	B4	B5	N	region	age				
10	56	2	0	0	0	0	0	0	0	FJ2/3/r	12				
10	21	1	0	0	0	0	0	0	0	F19/1/l	12				
10	56	1	0	0	0	0	0	0	0	FJ2/2/r	12				
10	21	1	0	0	0	0	0	0	0	FJ1/1/r	12				
10	21	1	0	0	0	0	0	0	0	FJ1/3/r	12				
															
															
															
															
															
															
															
															
															
															
															
															
